date,groupe_age,campagne,DOSES(J07E1),ACTE(VGP),annee,mois,jour_semaine,semaine_annee,DOSES(J07E1)_campagne,ACTE(VGP)_campagne,UNIVERS,PHARMACIES,POURCENTAGE
2022-01-15,moins de 65 ans,2021-2022,2096,919,2022,1,5,2,,,,,
2022-01-16,65 ans et plus,2021-2022,47,130,2022,1,6,2,,,,,
2022-01-16,moins de 65 ans,2021-2022,108,72,2022,1,6,2,,,,,
2022-01-17,65 ans et plus,2021-2022,3515,2272,2022,1,0,3,,,,,
2022-01-17,moins de 65 ans,2021-2022,2723,1272,2022,1,0,3,,,,,
2022-01-18,65 ans et plus,2021-2022,4357,2483,2022,1,1,3,,,,,
2022-01-18,moins de 65 ans,2021-2022,2629,1351,2022,1,1,3,,,,,
2022-01-19,65 ans et plus,2021-2022,3804,2007,2022,1,2,3,,,,,
2022-01-19,moins de 65 ans,2021-2022,2459,1090,2022,1,2,3,,,,,
2022-01-20,65 ans et plus,2021-2022,3335,2166,2022,1,3,3,,,,,
2022-01-20,moins de 65 ans,2021-2022,2499,1132,2022,1,3,3,,,,,
2022-01-21,65 ans et plus,2021-2022,3622,2080,2022,1,4,3,,,,,
2022-01-21,moins de 65 ans,2021-2022,2550,1150,2022,1,4,3,,,,,
2022-01-22,65 ans et plus,2021-2022,1990,786,2022,1,5,3,,,,,
2022-01-22,moins de 65 ans,2021-2022,1610,644,2022,1,5,3,,,,,
2022-01-23,65 ans et plus,2021-2022,26,49,2022,1,6,3,,,,,
2022-01-23,moins de 65 ans,2021-2022,174,49,2022,1,6,3,,,,,
2022-01-24,65 ans et plus,2021-2022,3190,1769,2022,1,0,4,,,,,
2022-01-24,moins de 65 ans,2021-2022,1853,835,2022,1,0,4,,,,,
2022-01-25,65 ans et plus,2021-2022,3597,1995,2022,1,1,4,,,,,
2022-01-25,moins de 65 ans,2021-2022,2029,1004,2022,1,1,4,,,,,
2022-01-26,65 ans et plus,2021-2022,2837,1662,2022,1,2,4,,,,,
2022-01-26,moins de 65 ans,2021-2022,1758,794,2022,1,2,4,,,,,
2022-01-27,65 ans et plus,2021-2022,3074,1692,2022,1,3,4,,,,,
2022-01-27,moins de 65 ans,2021-2022,1908,861,2022,1,3,4,,,,,
2022-01-28,65 ans et plus,2021-2022,2584,1578,2022,1,4,4,,,,,
2022-01-28,moins de 65 ans,2021-2022,1967,913,2022,1,4,4,,,,,
2022-01-29,65 ans et plus,2021-2022,1829,783,2022,1,5,4,,,,,
2022-01-29,moins de 65 ans,2021-2022,1163,568,2022,1,5,4,,,,,
2022-01-30,65 ans et plus,2021-2022,82,42,2022,1,6,4,,,,,
2022-01-30,moins de 65 ans,2021-2022,51,58,2022,1,6,4,,,,,
2022-01-31,65 ans et plus,2021-2022,2637,1612,2022,1,0,5,,,,,
2022-01-31,moins de 65 ans,2021-2022,1841,853,2022,1,0,5,,,,,
2022-02-01,65 ans et plus,2021-2022,1375,1154,2022,2,1,5,,,,,
2022-02-01,moins de 65 ans,2021-2022,1146,645,2022,2,1,5,,,,,
2022-02-02,65 ans et plus,2021-2022,1001,684,2022,2,2,5,,,,,
2022-02-02,moins de 65 ans,2021-2022,950,463,2022,2,2,5,,,,,
2022-02-03,65 ans et plus,2021-2022,1099,897,2022,2,3,5,,,,,
2022-02-03,moins de 65 ans,2021-2022,851,489,2022,2,3,5,,,,,
2022-02-04,65 ans et plus,2021-2022,1221,843,2022,2,4,5,,,,,
2022-02-04,moins de 65 ans,2021-2022,1145,540,2022,2,4,5,,,,,
2022-02-05,65 ans et plus,2021-2022,556,415,2022,2,5,5,,,,,
2022-02-05,moins de 65 ans,2021-2022,591,276,2022,2,5,5,,,,,
2022-02-06,65 ans et plus,2021-2022,92,46,2022,2,6,5,,,,,
2022-02-06,moins de 65 ans,2021-2022,67,32,2022,2,6,5,,,,,
2022-02-07,65 ans et plus,2021-2022,998,752,2022,2,0,6,,,,,
2022-02-07,moins de 65 ans,2021-2022,953,445,2022,2,0,6,,,,,
2022-02-08,65 ans et plus,2021-2022,852,795,2022,2,1,6,,,,,
2022-02-08,moins de 65 ans,2021-2022,888,526,2022,2,1,6,,,,,
2022-02-09,65 ans et plus,2021-2022,788,690,2022,2,2,6,,,,,
2022-02-09,moins de 65 ans,2021-2022,813,453,2022,2,2,6,,,,,
2022-02-10,65 ans et plus,2021-2022,964,733,2022,2,3,6,,,,,
2022-02-10,moins de 65 ans,2021-2022,911,473,2022,2,3,6,,,,,
2022-02-11,65 ans et plus,2021-2022,958,733,2022,2,4,6,,,,,
2022-02-11,moins de 65 ans,2021-2022,658,360,2022,2,4,6,,,,,
2022-02-12,65 ans et plus,2021-2022,500,328,2022,2,5,6,,,,,
2022-02-12,moins de 65 ans,2021-2022,517,192,2022,2,5,6,,,,,
